customer_id,signup_date,region,acquisition_channel,segment,age,annual_income_egp,monthly_spend_egp,orders_last_6m,avg_order_value_egp,satisfaction_score,support_tickets,discount_rate,website_visits_last_30d,is_active,churned
CUST-10037,2024-11-12,Alexandria,Web,Silver,30,178039.0,120.0,6,50.0,4.5,1,0.16,15,Yes,No
CUST-10038,2024-04-20,Giza,Web,Bronze,18,175253.0,1524.28,6,284.86,4.5,0,0.15,13,Yes,Yes
CUST-10039,2024-11-30,Cairo,Mobile App,Bronze,39,"252,262",2115.75,9,213.64,3.1,1,0.08,19,Yes,No
CUST-10040,2025-02-21,Giza,Mobile App,Bronze,39,"198,728",2834.08,9,342.98,4.0,0,0.17,16,Yes,No
CUST-10041,2023-07-09,Alexandria,Call Center,Bronze,29,125801.0,3540.79,7,446.38,3.9,1,0.07,14,No,Yes
CUST-10042,2024-11-17,Giza,Web,Silver,28,"161,385",1403.41,5,252.6,,2,0.23,12,Yes,Yes
CUST-10043,2024-07-16,Asyut,Call Center,Silver,21,"201,282",3511.37,9,364.63,3.9,1,0.26,17,Yes,Yes
CUST-10044,2024-07-20,Cairo,Mobile App,Bronze,44,39294.0,1792.69,14,132.62,3.6,2,0.25,17,No,No
CUST-10045,2023-09-01,Giza,Mobile App,Silver,45,"267,010",2083.08,11,185.92,,1,0.2,14,No,No
CUST-10046,2024-05-19,Asyut,Branch,Silver,25,"125,974",2723.29,2,1495.16,2.4,1,0.33,10,No,No
CUST-10047,2023-05-11,Alexandria,Mobile App,Bronze,29,272108.0,2017.09,7,255.14,2.8,2,0.28,9,Yes,No
CUST-10048,2024-04-29,Giza,Web,Bronze,34,"205,510",3199.11,8,321.62,4.3,2,0.37,15,Yes,No
CUST-10049,2024-10-08,Alexandria,Call Center,Platinum,60,"220,924",1835.86,5,407.79,2.5,4,0.39,9,Yes,Yes
CUST-10050,2023-01-21,Alexandria,Web,Silver,41,"254,713",1849.42,5,417.47,4.0,2,0.06,16,No,No
CUST-10051,2023-06-16,Mansoura,Web,Bronze,25,"217,254",3146.78,3,864.1,3.5,1,0.23,11,Yes,No
CUST-10052,2023-10-01,Cairo,Call Center,Silver,38,"223,738",1513.19,6,263.39,4.5,4,0.17,13,No,No
CUST-10053,2024-01-23, cairo ,Web,Bronze,20,"169,313",2424.04,9,256.22,4.2,1,0.1,26,Yes,No
CUST-10054,2024-08-23,Alexandria,Mobile App,Silver,43,"204,191",705.57,9,87.61,3.2,1,0.18,17,Yes,No
CUST-10055,2023-11-12,Asyut,Web,Bronze,53,141813.0,3837.68,6,735.4,,0,0.29,13,Yes,Yes
CUST-10056,2023-01-14,Alexandria,Call Center,Bronze,53,"157,678",3285.9,6,624.54,1.8,3,0.05,11,Yes,No
CUST-10057,2023-08-30,,Web,Bronze,43,307705.0,4675.1,4,1298.37,3.5,7,0.42,8,Yes,No
CUST-10058,2025-02-15,Alexandria,Branch,Platinum,29,"127,467",3404.53,5,,2.5,2,0.26,16,Yes,No
CUST-10059,2023-12-12,Mansoura,Mobile App,Gold,21,190031.0,1183.31,6,221.82,3.4,4,0.2,12,Yes,Yes
CUST-10060,2024-07-18,Cairo,Web,Bronze,20,"187,375",2801.78,4,709.83,3.0,2,0.22,12,Yes,No
CUST-10061,2023-12-06,,Mobile App,Bronze,18,"159,801",18500.0,4,282.01,2.8,1,0.17,12,Yes,No
CUST-10062,2023-04-02,Alexandria,Branch,Gold,43,"213,436",3620.23,7,508.27,4.7,0,0.21,17,Yes,No
CUST-10063,2024-01-02,Giza,Mobile App,Bronze,34,"218,332",1208.97,3,474.27,,2,0.26,11,Yes,Yes
CUST-10064,2024-03-30,Giza,Web,Bronze,45,"119,822",1165.76,9,149.62,2.7,0,0.13,18,Yes,No
CUST-10065,2024-03-03,Cairo,Mobile App,Platinum,51,"186,588",751.17,1,631.66,3.0,0,0.2,17,No,No
CUST-10066,2024-05-23,Cairo,Mobile App,Bronze,36,109646.0,1760.46,9,214.71,3.2,3,0.02,27,Yes,No
CUST-10067,2025-02-14,Cairo,Mobile App,Silver,37,231256.0,1579.47,11,161.15,2.8,1,0.46,12,Yes,No
CUST-10068,2023-02-04,Asyut,Mobile App,Platinum,30,191472.0,1064.52,5,193.43,3.3,4,0.29,12,Yes,No
CUST-10069,2023-07-25,Mansoura,Web,Bronze,31,"185,351",3990.83,4,986.38,3.9,3,0.39,18,No,No
CUST-10070,2023-03-22,Giza,Web,Bronze,43,,2676.89,6,483.8,4.2,3,0.17,3,Yes,No
CUST-10071,2024-07-15,Asyut,Mobile App,Bronze,33,162092.0,2571.01,6,418.05,4.2,0,0.02,12,Yes,No
CUST-10072,2024-01-23,Alexandria,Web,Gold,31,"239,411",3630.25,7,438.28,1.9,2,0.07,14,Yes,No
CUST-10073,2023-01-02,Giza,Web,Gold,35,"118,351",2430.63,10,263.08,3.9,2,0.43,15,Yes,Yes
CUST-10074,2024-01-25,Giza,Branch,Gold,45,"271,772",1526.19,6,296.25,,2,0.09,16,Yes,No
CUST-10075,2024-07-19,Cairo,Mobile App,Bronze,27,"144,191",669.81,8,88.83,3.0,2,0.7,21,Yes,No
CUST-10076,2023-04-16,GIZA,Mobile App,Gold,34,"69,748",1475.45,7,233.86,5.0,2,0.38,14,No,No
CUST-10077,2025-02-10,Alexandria,Call Center,Gold,38,"158,645",3554.87,9,372.61,4.6,3,0.09,10,Yes,No
CUST-10078,2024-04-21,Alexandria,Mobile App,Silver,48,"151,272",1070.2,4,,3.4,1,0.15,13,Yes,Yes
CUST-10079,2024-12-03,Cairo,Call Center,Platinum,32,"158,155",2517.81,5,532.32,3.1,2,0.1,18,Yes,No
CUST-10080,2024-02-06,Asyut,Mobile App,Gold,27,"195,057",3130.53,5,582.97,5.0,2,0.16,15,Yes,Yes
CUST-10081,2024-12-30,Mansoura,Web,Silver,30,"251,360",2456.81,6,468.44,3.6,2,0.15,11,Yes,No
CUST-10082,2024-07-09,Cairo,Web,Silver,47,167539.0,2559.08,3,724.26,3.7,2,0.21,16,Yes,No
CUST-10083,2023-06-11,Asyut,Mobile App,Bronze,57,135045.0,2790.04,3,905.26,3.7,1,0.15,18,Yes,No
CUST-10084,2023-07-21,Asyut,Mobile App,Bronze,21,"106,774",2541.35,6,406.06,5.0,0,0.08,13,Yes,No
CUST-10085,2023-09-27,Asyut,Web,Silver,23,"149,568",3648.17,7,612.49,,2,0.25,16,Yes,No
CUST-10086,2023-09-28,Cairo,Web,Bronze,33,"57,291",1263.74,6,181.4,3.6,0,0.18,14,Yes,No
CUST-10087,2024-03-31,Mansoura,Web,Gold,36,"132,866",2416.38,8,242.83,2.9,2,0.37,12,Yes,Yes
CUST-10088,2024-04-06,Alexandria,Web,Platinum,44,"260,864",563.58,7,72.08,3.2,2,0.34,12,No,No
CUST-10089,2024-12-27, cairo ,Mobile App,Gold,25,"126,482",333.63,8,50.0,2.7,1,0.07,8,Yes,No
CUST-10090,2023-09-09,Asyut,Web,Bronze,23,220867.0,2126.5,4,469.81,2.9,3,0.17,14,Yes,Yes
CUST-10091,2024-12-02,Alexandria,Mobile App,Bronze,37,"100,279",2689.04,1,2410.33,2.0,1,0.06,11,No,Yes
CUST-10092,2023-10-23,Mansoura,Mobile App,Bronze,32,"295,121",3667.6,3,1041.55,4.4,0,0.06,16,Yes,No
CUST-10093,2024-12-25,Asyut,Mobile App,Silver,45,"299,444",4377.81,7,679.3,3.7,0,0.22,17,Yes,No
CUST-10094,2024-12-20,Mansoura,Call Center,Gold,40,"218,416",3387.87,6,467.34,3.8,3,0.22,14,Yes,No
CUST-10095,2025-01-18,Giza,Web,Platinum,41,"309,431",2854.45,7,380.25,3.6,3,0.32,14,Yes,No
CUST-10096,2023-12-04,Cairo,Mobile App,Silver,34,"203,127",2343.97,3,713.35,3.7,0,0.3,15,Yes,No
CUST-10097,2023-02-22,Giza,Web,Gold,61,"229,954",821.89,10,84.0,5.0,2,0.39,18,Yes,No
CUST-10098,2025-03-02,Asyut,Web,Gold,26,"262,026",2068.57,11,205.38,2.9,1,0.21,17,Yes,No
CUST-10099,2023-08-05,Cairo,Branch,Bronze,42,"191,682",3361.34,5,681.11,3.9,2,0.13,13,Yes,No
CUST-10100,2025-02-02,Giza,Web,Gold,21,"79,095",3008.45,4,881.79,3.8,2,0.08,10,Yes,Yes
CUST-10101,2023-07-07,Cairo,Web,Bronze,23,"231,283",1042.3,2,615.26,4.6,1,0.45,15,Yes,No
CUST-10102,2024-01-15,Alexandria,Mobile App,Bronze,28,149329.0,2752.62,10,260.01,4.0,1,0.47,21,Yes,Yes
CUST-10103,2024-05-07,Asyut,Web,Silver,53,"154,161",2675.55,7,424.68,4.0,0,0.21,7,No,Yes
CUST-10104,2023-02-10,,Call Center,Bronze,38,"199,363",2514.9,15,183.68,2.5,1,0.18,13,No,No
CUST-10105,2023-06-06,Cairo,Web,Silver,29,"216,808",2174.93,5,503.36,2.9,1,0.38,12,Yes,Yes
CUST-10106,2023-01-15,Asyut,Branch,Silver,39,"189,759",2799.03,11,249.16,2.5,1,0.24,18,Yes,No
CUST-10107,2023-03-06,Alexandria,Mobile App,Silver,35,"221,322",2827.58,4,715.51,1.4,0,0.28,12,Yes,No
CUST-10108,2024-06-04,Giza,Mobile App,Bronze,30,"134,054",1622.69,3,522.67,4.0,2,0.17,8,Yes,Yes
CUST-10109,2023-12-10,Mansoura,Branch,Silver,20,"177,224",2609.51,7,425.03,3.4,1,0.16,14,No,No
CUST-10110,2023-05-09,Giza,Web,Silver,51,"235,191",2029.54,6,301.69,4.0,1,0.04,14,No,No
CUST-10111,2024-10-09,Giza,Branch,Silver,37,"295,231",861.49,6,128.63,,1,0.36,8,Yes,No
CUST-10112,2024-04-16,Mansoura,Web,Silver,59,318218.0,1694.55,7,229.74,3.8,2,0.04,18,Yes,No
CUST-10113,2023-03-04,Cairo,Mobile App,Bronze,45,"208,143",792.68,9,78.58,4.8,3,0.14,7,Yes,Yes
CUST-10114,2023-05-19,Giza,Web,Silver,41,,3082.08,8,394.66,3.6,2,0.07,10,Yes,No
CUST-10115,2024-05-13,Giza,Mobile App,Bronze,30,"308,803",2520.3,9,239.09,4.2,2,0.42,21,No,No
CUST-10116,2024-08-15,Cairo,Web,Silver,23,"136,396",1880.06,5,348.97,3.3,2,0.18,16,Yes,Yes
CUST-10117,2024-01-27,Giza,Call Center,Gold,33,"220,930",3478.47,10,405.37,,0,0.43,9,Yes,No
CUST-10118,2024-11-05,Alexandria,Call Center,Silver,23,"229,942",2261.19,6,363.18,2.5,1,0.3,11,Yes,No
CUST-10119,2024-02-23,Mansoura,Branch,Silver,42,"274,111",911.9,6,167.07,1.9,1,0.25,11,Yes,Yes
CUST-10120,2023-10-16, cairo ,Web,Platinum,53,,1804.47,12,127.12,5.0,1,0.25,18,Yes,No
CUST-10121,2024-01-14,Mansoura,Mobile App,Gold,32,,3669.57,2,1649.52,5.0,2,0.07,9,Yes,No
CUST-10122,2025-02-11,Mansoura,Mobile App,Gold,45,"181,390",1597.47,5,,1.8,0,0.2,10,No,Yes
CUST-10123,2024-05-04,Alexandria,Web,Gold,27,"204,552",2447.7,6,450.87,3.6,3,0.27,16,No,No
CUST-10124,2023-08-19,Cairo,Web,Bronze,32,"252,986",2869.49,14,195.63,3.7,1,0.2,13,Yes,No
CUST-10125,2023-02-10,Giza,Web,Bronze,26,213640.0,2730.95,7,461.05,4.3,2,0.4,21,Yes,No
CUST-10126,2023-01-28,Giza,Mobile App,Silver,18,"170,158",4404.51,11,466.18,5.0,1,0.33,13,No,No
CUST-10127,2023-05-15,,Mobile App,Bronze,35,207070.0,1141.33,17,79.55,2.6,2,0.18,13,Yes,No
CUST-10128,2023-07-20,,Mobile App,Silver,36,"199,568",1231.18,11,108.7,2.7,1,0.21,9,Yes,No
CUST-10129,2025-02-18,Giza,Web,Bronze,47,"293,426",1156.22,6,169.38,3.6,2,0.35,14,Yes,No
CUST-10130,2023-02-02,Mansoura,mobile app ,Silver,44,190768.0,1933.67,7,290.23,2.7,3,0.02,18,No,No
CUST-10131,2023-02-17,Asyut,Web,Gold,44,"155,100",3189.44,7,489.31,1.2,0,0.22,22,Yes,Yes
CUST-10132,2024-05-17,Alexandria,Branch,Silver,24,"209,225",1271.44,6,180.16,3.4,2,0.23,10,Yes,No
CUST-10133,2024-02-11,Giza,Web,Silver,40,"192,902",3202.02,7,509.85,4.4,1,0.48,11,No,Yes
CUST-10134,2024-07-27,Cairo,Web,Gold,52,"77,885",2231.61,6,300.24,3.6,2,0.13,16,Yes,No
CUST-10135,2024-12-28,Asyut,mobile app ,Silver,39,"178,983",1201.9,7,170.51,4.2,0,0.19,13,Yes,Yes
CUST-10136,2023-04-09,Asyut,Call Center,Gold,55,"173,452",623.77,12,50.0,4.0,0,0.07,25,Yes,Yes
CUST-10137,2024-11-14,Cairo,Branch,Bronze,57,"144,648",825.19,3,301.5,2.7,1,0.41,13,Yes,No
CUST-10138,2024-12-26,Alexandria,Mobile App,Platinum,32,"247,313",1600.73,7,211.55,3.7,0,0.05,21,Yes,No
CUST-10139,2024-06-30,Cairo,Mobile App,Silver,27,"128,931",2047.76,3,,2.2,0,0.09,10,Yes,No
CUST-10140,2025-01-08,Cairo,Mobile App,Bronze,27,"209,615",3411.46,8,442.63,3.1,2,0.14,13,Yes,Yes
CUST-10141,2024-09-04,Cairo,Web,Bronze,18,"170,389",2919.18,6,543.73,3.6,2,0.09,17,Yes,No
CUST-10142,2024-04-06,Cairo,Branch,Silver,29,187000.0,1444.95,10,172.78,3.6,3,0.33,17,Yes,Yes
CUST-10143,2024-10-04,Asyut,Mobile App,Bronze,48,"206,766",2567.8,7,393.12,2.4,0,0.11,15,No,No
CUST-10144,2025-02-07,Alexandria,Mobile App,Bronze,18,"95,008",3686.39,6,733.58,2.6,2,0.24,18,Yes,No
CUST-10145,2023-01-05,Giza,Mobile App,Silver,24,"192,458",3886.53,7,450.58,3.9,4,0.29,7,No,No
CUST-10146,2023-08-06,Mansoura,Mobile App,Silver,34,"328,782",1917.03,10,179.29,4.3,0,0.16,20,No,No
CUST-10147,2024-05-17,Asyut,Mobile App,Silver,25,,3062.46,7,368.87,3.4,0,0.17,18,Yes,No
CUST-10148,2025-02-05,Asyut,Branch,Platinum,29,"176,255",3450.96,6,520.47,3.4,1,0.21,15,Yes,No
CUST-10149,2024-02-02,Cairo,Branch,Silver,29,"253,011",843.64,4,239.5,4.4,1,0.28,11,Yes,No
CUST-10150,2025-03-05,Giza,Mobile App,Silver,32,199605.0,1738.83,6,235.59,,2,0.17,16,Yes,No
CUST-10151,2024-01-28, cairo ,Mobile App,Bronze,27,224718.0,4198.02,7,604.56,5.0,1,0.44,14,Yes,No
CUST-10152,2023-07-26,Giza,Web,Silver,26,35000.0,1929.07,8,247.61,2.4,1,0.23,9,Yes,No
CUST-10153,2023-01-15,Cairo,Mobile App,Bronze,45,"218,886",120.0,3,50.0,4.5,1,0.01,17,Yes,Yes
CUST-10154,2024-07-07,Alexandria,Web,Platinum,47,"130,490",2091.13,8,258.81,4.1,3,0.3,11,No,Yes
CUST-10155,2024-04-05,Giza,Mobile App,Gold,20,"200,142",3212.16,9,398.39,5.0,2,0.07,13,Yes,No
CUST-10156,2024-11-21, cairo ,Branch,Silver,18,"178,087",2205.86,7,268.93,2.6,3,0.19,13,Yes,Yes
CUST-10157,2024-07-28,Cairo,Mobile App,Bronze,47,"328,092",2843.83,11,238.94,1.5,1,0.18,16,No,No
CUST-10158,2025-01-12,Giza,mobile app ,Gold,21,215535.0,3044.4,7,455.05,4.7,0,0.12,12,No,Yes
CUST-10159,2023-08-29,Cairo,Web,Gold,37,"172,679",1880.56,3,674.73,2.3,3,0.55,15,Yes,Yes
CUST-10160,2024-07-17,Giza,Web,Bronze,18,81870.0,1732.55,4,416.53,4.2,0,0.27,13,Yes,No
CUST-10161,2023-04-06,Cairo,Mobile App,Bronze,49,187875.0,2338.1,8,336.14,4.7,1,0.14,16,Yes,No
CUST-10162,2025-01-03,Cairo,Web,Gold,63,"233,510",2360.0,6,380.04,3.9,1,0.37,21,No,No
CUST-10163,2024-04-29,Giza,Web,Bronze,37,"174,764",2248.67,8,270.15,3.8,0,0.15,20,Yes,No
CUST-10164,2024-02-11,Alexandria,Web,Gold,34,"147,132",2285.64,8,232.7,4.0,1,0.16,11,Yes,No
CUST-10165,2023-08-19,Cairo,Mobile App,Silver,31,"142,782",1526.31,10,155.75,4.4,2,0.19,15,No,No
CUST-10166,2025-01-18,Cairo,Mobile App,Bronze,44,"214,784",2875.26,4,778.82,4.1,2,0.07,10,Yes,No
CUST-10167,2024-10-16,Cairo,Web,Gold,41,229360.0,2739.31,8,289.6,2.5,2,0.24,16,No,No
CUST-10168,2023-06-20,Asyut,Mobile App,Bronze,46,"268,479",997.59,7,131.42,5.0,1,0.44,8,Yes,No
CUST-10169,2024-06-24,Giza,Mobile App,Silver,28,,1849.75,6,342.98,3.6,4,0.24,16,Yes,Yes
CUST-10170,2023-02-05,Alexandria,Mobile App,Bronze,39,"214,189",2283.77,9,240.14,4.1,2,0.34,18,Yes,Yes
CUST-10171,2024-06-08,Asyut,Mobile App,Bronze,29,"172,089",1719.12,6,256.91,4.2,2,0.25,11,No,Yes
CUST-10172,2023-06-09,Cairo,Web,Silver,23,"174,005",2773.63,8,370.59,4.6,2,0.47,13,Yes,No
CUST-10173,,Asyut,Mobile App,Silver,35,"206,119",2139.81,5,376.05,4.5,1,0.24,16,Yes,No
CUST-10174,2023-08-31,Alexandria,Mobile App,Silver,25,206498.0,2352.17,9,302.71,3.7,2,0.19,15,Yes,No
CUST-10175,2023-03-27,Cairo,Branch,Gold,48,"214,370",1839.36,11,140.83,3.7,1,0.23,17,No,No
CUST-10176,2025-03-06,Giza,Mobile App,Silver,26,,406.1,4,109.91,4.0,2,0.12,19,No,No
CUST-10177,2024-07-31,Mansoura,Web,Bronze,39,"131,262",354.69,8,50.0,4.6,0,0.11,18,Yes,No
CUST-10178,2024-11-12,Giza,Web,Bronze,28,"276,581",2730.65,4,783.68,2.6,0,0.18,12,Yes,No
CUST-10179,2024-07-10,Asyut,Mobile App,Gold,38,"165,663",2440.22,3,691.78,4.2,1,0.25,16,No,No
CUST-10180,2024-07-27,Giza,Call Center,Gold,29,"199,891",2594.8,4,694.86,2.8,2,0.35,14,Yes,No
CUST-10181,2024-10-07,Mansoura,Mobile App,Silver,21,"248,553",2321.03,7,341.13,5.0,2,0.32,16,Yes,Yes
CUST-10182,2025-03-06,Giza,Mobile App,Bronze,40,"210,124",2393.11,2,,3.9,2,0.17,17,Yes,No
CUST-10183,2023-01-28,Mansoura,Mobile App,Bronze,32,"215,524",3072.12,8,382.7,3.2,1,0.52,13,Yes,No
CUST-10184,2024-09-11,Alexandria,Mobile App,Gold,38,"238,148",2600.16,9,314.56,4.0,0,0.07,21,Yes,No
CUST-10185,2024-07-09,Cairo,Web,Gold,30,"42,417",3136.82,12,307.17,3.6,1,0.1,15,No,No
CUST-10186,2023-12-06, cairo ,Call Center,Silver,20,148153.0,2354.32,3,656.46,3.5,2,0.38,12,No,Yes
CUST-10187,2025-03-08,Cairo,Web,Gold,47,"210,459",1929.66,13,119.91,2.0,1,0.21,13,Yes,Yes
CUST-10188,2023-11-27,Cairo,Mobile App,Gold,43,"270,197",2374.78,7,380.74,2.7,1,0.13,15,Yes,No
CUST-10189,2024-10-01,Cairo,Branch,Bronze,29,"184,296",1447.44,3,406.86,3.5,1,0.23,13,Yes,No
CUST-10190,2024-05-20,Alexandria,Web,Silver,36,"125,093",1858.14,3,739.96,2.1,2,0.34,16,Yes,Yes
CUST-10191,2023-12-14,Alexandria,Web,Bronze,46,"126,824",2359.81,4,618.12,3.1,4,0.1,20,Yes,No
CUST-10192,2024-04-17,Mansoura,Web,Bronze,30,"237,451",2347.89,4,622.39,3.2,0,0.32,22,Yes,No
CUST-10193,2023-08-19,Asyut,Branch,Gold,32,"165,845",2104.22,5,370.16,2.9,2,0.29,17,Yes,No
CUST-10194,2023-07-09,Alexandria,Web,Silver,38,179532.0,950.63,5,170.38,,2,0.32,10,Yes,No
CUST-10195,2023-08-13,Mansoura,Web,Silver,30,,2772.77,7,421.36,2.8,3,0.23,17,Yes,Yes
CUST-10196,2024-01-20,Mansoura,Web,Bronze,44,35000.0,2950.81,8,429.3,3.7,4,0.43,16,Yes,No
CUST-10197,2024-01-12,Giza,Web,Bronze,33,"310,024",3679.32,8,548.66,3.3,4,0.43,12,Yes,No
CUST-10198,2023-10-10,Cairo,Web,Bronze,26,"132,480",2597.6,3,761.28,3.5,2,0.37,17,Yes,No
CUST-10199,2024-09-24,Cairo,Mobile App,Bronze,42,195726.0,2201.32,6,313.19,,1,0.14,16,No,No
CUST-10200,2024-09-19,Cairo,Mobile App,Silver,22,69195.0,1288.27,7,151.38,3.8,1,0.29,17,No,Yes
CUST-10201,2025-01-14,Cairo,Web,Bronze,57,"152,535",3542.82,4,1016.18,3.9,3,0.32,10,Yes,No
CUST-10202,2023-09-16,Cairo,Web,Silver,52,"260,905",2423.05,9,247.12,2.9,3,0.37,15,Yes,No
CUST-10203,2023-12-25,Asyut,Web,Bronze,41,"55,449",2374.04,5,380.19,4.2,6,0.52,20,No,No
CUST-10204,2024-12-10,Mansoura,Web,Bronze,40,"253,203",1971.35,4,438.39,4.1,2,0.25,85,Yes,No
CUST-10205,2024-03-31,Cairo,Mobile App,Bronze,39,,1913.83,8,,4.0,1,0.11,13,Yes,No
CUST-10206,2024-02-15,Cairo,Mobile App,Silver,30,"211,666",2819.44,4,843.29,2.5,0,0.07,12,Yes,No
CUST-10207,2024-10-10,Cairo,Web,Silver,38,222739.0,1280.7,7,184.68,3.1,2,0.37,13,Yes,No
CUST-10208,2023-11-14,Giza,Mobile App,Silver,25,"208,692",3662.89,9,358.92,4.9,3,0.16,10,Yes,No
CUST-10209,2024-11-07,Giza,Web,Silver,41,"123,778",3466.77,6,539.62,3.0,1,0.23,15,No,Yes
CUST-10210,2023-08-13,Mansoura,Call Center,Gold,45,156304.0,1881.34,7,250.52,5.0,0,0.45,13,Yes,No
CUST-10211,2023-08-22,Giza,Mobile App,Bronze,31,"84,999",1422.52,5,229.85,3.1,2,0.04,16,Yes,No
CUST-10212,,Mansoura,Mobile App,Bronze,28,"211,967",386.31,7,50.0,3.7,2,0.3,11,No,No
CUST-10213,2024-10-25,Asyut,Web,Gold,22,"290,634",1073.73,7,165.37,3.4,1,0.65,15,Yes,No
CUST-10214,2024-01-09,Cairo,Branch,Silver,51,"61,411",2856.92,6,403.83,,3,0.12,16,Yes,No
CUST-10215,2024-11-02,Mansoura,Web,Bronze,29,"130,493",2483.81,8,,2.9,0,0.33,14,Yes,No
CUST-10216,2024-08-30,Alexandria,Web,Gold,33,"168,185",2644.29,8,310.8,3.0,1,0.62,15,Yes,Yes
CUST-10217,2024-04-16,Giza,Web,Gold,38,"191,267",538.98,10,59.45,3.7,2,0.16,7,Yes,No
